ID_Pregunta,Fuente_Original,Oposicion,Tema,Texto_Pregunta,Opcion_A,Oposicion_B,Opcion_C,Opcion_D,Respuesta_Correcta,Articulo_Justificacion,Texto_Justificacion,URL_Fuente_Oficial,tipo_pregunta
3251,"Examen Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","Según la CE, la soberanía nacional reside en:","El Rey","Las Cortes Generales","El Gobierno","El pueblo español",D,"Artículo 1.2 CE","La soberanía nacional reside en el pueblo español, del que emanan los poderes del Estado.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3252,"Examen Oficial 2023","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","¿Cuál de los siguientes no es un principio garantizado por el artículo 9.3 de la CE?","La publicidad de las normas","La irretroactividad de las disposiciones sancionadoras no favorables","La interdicción de la arbitrariedad de los poderes públicos","La gratuidad de la justicia",D,"Artículo 9.3 y 119 CE","El artículo 9.3 garantiza los tres primeros. La gratuidad de la justicia se regula en el artículo 119 para quienes acrediten insuficiencia de recursos.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3253,"Examen Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","La potestad legislativa del Estado la ejercen:","El Gobierno","Las Cortes Generales","El Rey","El Tribunal Constitucional",B,"Artículo 66.2 CE","Las Cortes Generales ejercen la potestad legislativa del Estado, aprueban sus Presupuestos, controlan la acción del Gobierno y tienen las demás competencias que les atribuya la Constitución.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3254,"Examen Oficial 2022","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El Defensor del Pueblo es elegido por:","El Gobierno, a propuesta del Ministro de Justicia","Las Cortes Generales","El Rey","El Consejo General del Poder Judicial",B,"Artículo 54 CE","Una ley orgánica regulará la institución del Defensor del Pueblo, como alto comisionado de las Cortes Generales, designado por éstas para la defensa de los derechos comprendidos en este Título...","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3255,"Examen Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","¿Cuál es la capital del Estado según la Constitución?","Barcelona","Madrid","La que decida el Gobierno","No se especifica",B,"Artículo 5 CE","La capital del Estado es la villa de Madrid.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3256,"Examen Oficial 2021","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El mandato de los Diputados del Congreso es de:","Cinco años","Cuatro años","Seis años","Indefinido",B,"Artículo 68.4 CE","El Congreso es elegido por cuatro años. El mandato de los Diputados termina cuatro años después de su elección o el día de la disolución de la Cámara.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3257,"Examen Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","La moción de censura debe ser propuesta, al menos, por:","La décima parte de los Diputados","La mayoría absoluta del Congreso","Un tercio de los Senadores","El Presidente del Gobierno",A,"Artículo 113.1 CE","El Congreso de los Diputados puede exigir la responsabilidad política del Gobierno mediante la adopción por mayoría absoluta de la moción de censura. Deberá ser propuesta al menos por la décima parte de los Diputados...","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3258,"Examen Oficial 2019","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","¿Quién nombra al Presidente del Tribunal Constitucional?","El Presidente del Gobierno","El Rey, a propuesta del Pleno del mismo Tribunal","El Pleno del Congreso de los Diputados","El Consejo General del Poder Judicial",B,"Artículo 160 CE","El Presidente del Tribunal Constitucional será nombrado de entre sus miembros por el Rey, a propuesta del mismo Tribunal en pleno y por un período de tres años.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3259,"Examen Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","La provincia es una entidad local con personalidad jurídica propia, determinada por la agrupación de:","Comarcas","Municipios","Partidos Judiciales","Mancomunidades",B,"Artículo 141.1 CE","La provincia es una entidad local con personalidad jurídica propia, determinada por la agrupación de municipios y división territorial para el cumplimiento de las actividades del Estado.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
3260,"Examen Oficial 2018","Auxiliar Administrativo del Estado (C2)","Bloque I - Organización Pública","El Gobierno se compone de:","El Presidente y los Ministros","El Presidente, el Vicepresidente o Vicepresidentes, en su caso, y los Ministros","El Presidente, los Ministros y los Secretarios de Estado","El Rey, el Presidente y los Ministros",B,"Artículo 98.1 CE","El Gobierno se compone del Presidente, de los Vicepresidentes, en su caso, de los Ministros y de los demás miembros que establezca la ley.","https://www.boe.es/eli/es/c/1978/12/27/(1)/con",temario
